S. No.,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
1,ARARIA,269.4,340.9,-21
2,ARWAL,210.3,204.5,3
3,AURANGABAD,256.4,251,2
4,BANKA,276.4,247.7,12
5,BEGUSARAI,270.3,273.8,-1
6,BHABUA,192.6,271.2,-29
7,BHAGALPUR,170.6,260.3,-34
8,BHOJPUR,237.1,258.9,-8
9,BUXAR,250.5,232,8
10,DARBHANGA,239.7,254.7,-6
11,EAST CHAMPARAN,232.1,302,-23
12,GAYA,241.5,241.6,0
13,GOPALGANJ,181,272.7,-34
14,JAHANABAD,203.9,238.2,-14
15,JAMUI,249.5,250.9,-1
16,KATIHAR,268.8,255.8,5
17,KHAGARIA,321.3,252.1,27
18,KISHANGANJ,384,451.7,-15
19,LAKHISARAI,313.4,222.7,41
20,MADHEPURA,203.6,265.9,-23
21,MADHUBANI,228.6,268.5,-15
22,MONGHYR,222.7,276.1,-19
23,MUZAFFARPUR,188.1,261.9,-28
24,NALANDA,286.9,237.7,21
25,NAWADA,223.9,242.4,-8
26,PATNA,343.8,237.8,45
27,PURNEA,286.4,346.9,-17
28,ROHTAS,210.6,248,-15
29,SAHARSA,175.5,276,-36
30,SAMASTIPUR,237.8,254.8,-7
31,SARAN,207.8,258,-19
32,SHEIKHPURA,332.7,209.6,59
33,SHEOHAR,326.4,266.9,22
34,SITAMARHI,222.7,307.3,-28
35,SIWAN,272.4,249,9
36,SUPAUL,197,262.5,-25
37,VAISHALI,300.6,244.3,23
38,WEST CHAMPARAN,262,355.8,-26
