S. No.,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
1,ARARIA,176.2,487.1,-64
2,ARWAL,188.4,249.1,-24
3,AURANGABAD,291.7,293.5,-1
4,BANKA,301,284.7,6
5,BEGUSARAI,294.6,329.1,-10
6,BHABUA,225,286,-21
7,BHAGALPUR,250.5,310.7,-19
8,BHOJPUR,166.6,306.8,-46
9,BUXAR,172,270.6,-36
10,DARBHANGA,158.6,313.2,-49
11,EAST CHAMPARAN,69.9,364.3,-81
12,GAYA,338.6,276.6,22
13,GOPALGANJ,109.8,336.3,-67
14,JAHANABAD,157.4,284.4,-45
15,JAMUI,295.1,319.4,-8
16,KATIHAR,179.3,349.2,-49
17,KHAGARIA,289.9,309,-6
18,KISHANGANJ,205.1,597.4,-66
19,LAKHISARAI,217.3,305.3,-29
20,MADHEPURA,131.1,332.8,-61
21,MADHUBANI,95.7,353.5,-73
22,MONGHYR,235,353.9,-34
23,MUZAFFARPUR,129.1,332.2,-61
24,NALANDA,276.1,304.3,-9
25,NAWADA,318.4,281.4,13
26,PATNA,293.6,315.6,-7
27,PURNEA,151.7,476.3,-68
28,ROHTAS,237,288.8,-18
29,SAHARSA,166.6,375.3,-56
30,SAMASTIPUR,198.3,309.5,-36
31,SARAN,130.4,315.9,-59
32,SHEIKHPURA,271.7,296.6,-8
33,SHEOHAR,101.9,356.7,-71
34,SITAMARHI,72,375.5,-81
35,SIWAN,146.8,308.3,-52
36,SUPAUL,110.4,391.3,-72
37,VAISHALI,321,335.6,-4
38,WEST CHAMPARAN,105.9,438.5,-76
