S. No.,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
1,ARARIA,151.2,262.6,-42
2,ARWAL,49.2,91.8,-46
3,AURANGABAD,180.1,126.8,42
4,BANKA,112.2,139.5,-20
5,BEGUSARAI,57.4,165.6,-65
6,BHABUA,98.4,111.7,-12
7,BHAGALPUR,114.4,179.5,-36
8,BHOJPUR,39.5,116.4,-66
9,BUXAR,91.2,110.6,-18
10,DARBHANGA,69.8,145.1,-52
11,EAST CHAMPARAN,58.4,177.8,-67
12,GAYA,210.5,135.4,55
13,GOPALGANJ,67.6,142.8,-53
14,JAHANABAD,91.1,125.2,-27
15,JAMUI,176.7,147.4,20
16,KATIHAR,131.6,211.9,-38
17,KHAGARIA,62.8,184.5,-66
18,KISHANGANJ,253.7,342.6,-26
19,LAKHISARAI,136,121.7,12
20,MADHEPURA,49.4,197.5,-75
21,MADHUBANI,74.3,169.2,-56
22,MONGHYR,124,164,-24
23,MUZAFFARPUR,33.9,157,-78
24,NALANDA,126.5,119.2,6
25,NAWADA,172.3,124.3,39
26,PATNA,71.9,130.2,-45
27,PURNEA,122.3,279.7,-56
28,ROHTAS,134,115.4,16
29,SAHARSA,19.7,195.6,-90
30,SAMASTIPUR,47.8,158.4,-70
31,SARAN,43,129.7,-67
32,SHEIKHPURA,100.8,130.1,-23
33,SHEOHAR,69.4,179.1,-61
34,SITAMARHI,44.2,188.9,-77
35,SIWAN,102.9,130.8,-21
36,SUPAUL,78.7,203.4,-61
37,VAISHALI,55.8,126.1,-56
38,WEST CHAMPARAN,113.8,200.8,-43
