S. No.,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
1,ARARIA,208,65.9,216
2,ARWAL,65.9,32.1,105
3,AURANGABAD,72.3,44.5,63
4,BANKA,96.6,66.9,44
5,BEGUSARAI,110.4,53.7,106
6,BHABUA,133.4,35.6,275
7,BHAGALPUR,66,90.8,-27
8,BHOJPUR,240.1,48.6,394
9,BUXAR,178.5,40.9,336
10,DARBHANGA,149.4,54.5,174
11,EAST CHAMPARAN,313.6,63.8,391
12,GAYA,54.2,46.6,16
13,GOPALGANJ,317,45.2,601
14,JAHANABAD,47.1,33.5,41
15,JAMUI,60.7,62.1,-2
16,KATIHAR,57.3,87.4,-34
17,KHAGARIA,109.8,66.2,66
18,KISHANGANJ,143.7,84.1,71
19,LAKHISARAI,42.1,46.2,-9
20,MADHEPURA,164.3,63.4,159
21,MADHUBANI,209.4,54.8,282
22,MONGHYR,40.8,64.6,-37
23,MUZAFFARPUR,186.5,54.1,245
24,NALANDA,43.7,45.9,-5
25,NAWADA,48.6,55.8,-13
26,PATNA,64.3,50.4,28
27,PURNEA,108.2,91.5,18
28,ROHTAS,149.2,35.8,317
29,SAHARSA,156.8,65.9,138
30,SAMASTIPUR,98.4,58.5,68
31,SARAN,224.1,54.8,309
32,SHEIKHPURA,77.1,52.2,48
33,SHEOHAR,319.2,48.7,555
34,SITAMARHI,319.6,56.7,464
35,SIWAN,327.3,47.7,586
36,SUPAUL,290.5,64,354
37,VAISHALI,122.6,52.7,133
38,WEST CHAMPARAN,289.5,58.4,396
