S. No.,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
1,ARARIA,788.1,1374.6,-43
2,ARWAL,512.7,705.2,-27
3,AURANGABAD,861.6,859,0
4,BANKA,747.3,870.6,-14
5,BEGUSARAI,787,1009.5,-22
6,BHABUA,606.7,890.2,-32
7,BHAGALPUR,603.2,970.2,-38
8,BHOJPUR,550.5,889.3,-38
9,BUXAR,655.8,785.4,-17
10,DARBHANGA,613.7,899.6,-32
11,EAST CHAMPARAN,487,1055.2,-54
12,GAYA,920.1,828.3,11
13,GOPALGANJ,496.8,968.6,-49
14,JAHANABAD,566.6,832.9,-32
15,JAMUI,811.1,936.4,-13
16,KATIHAR,661.1,1078.9,-39
17,KHAGARIA,955.3,971.3,-2
18,KISHANGANJ,1158.5,1746.2,-34
19,LAKHISARAI,738.6,850.3,-13
20,MADHEPURA,514.7,1046.3,-51
21,MADHUBANI,580.4,972.1,-40
22,MONGHYR,679.8,1019.9,-33
23,MUZAFFARPUR,443.8,967.8,-54
24,NALANDA,793,852.8,-7
25,NAWADA,824.1,826.5,0
26,PATNA,876.5,886.9,-1
27,PURNEA,689,1411.8,-51
28,ROHTAS,685,842.3,-19
29,SAHARSA,496.3,1083.3,-54
30,SAMASTIPUR,632.7,945.7,-33
31,SARAN,477.8,899.4,-47
32,SHEIKHPURA,795.7,818,-3
33,SHEOHAR,606.4,1008.7,-40
34,SITAMARHI,478.1,1060.3,-55
35,SIWAN,684.7,901,-24
36,SUPAUL,543,1085.7,-50
37,VAISHALI,851.6,905.4,-6
38,WEST CHAMPARAN,702.8,1232.2,-43
