S. No.,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
1,ARARIA,191.3,284,-33
2,ARWAL,64.8,159.8,-59
3,AURANGABAD,133.4,187.7,-29
4,BANKA,57.6,198.7,-71
5,BEGUSARAI,164.7,241,-32
6,BHABUA,90.7,221.3,-59
7,BHAGALPUR,67.8,219.7,-69
8,BHOJPUR,107.4,207.2,-48
9,BUXAR,142.2,172.2,-17
10,DARBHANGA,145.6,186.6,-22
11,EAST CHAMPARAN,126.7,211.1,-40
12,GAYA,129.5,174.7,-26
13,GOPALGANJ,138.3,216.8,-36
14,JAHANABAD,114.2,185.1,-38
15,JAMUI,89.8,218.7,-59
16,KATIHAR,81.4,262,-69
17,KHAGARIA,281.3,225.7,25
18,KISHANGANJ,315.7,354.5,-11
19,LAKHISARAI,71.9,200.6,-64
20,MADHEPURA,130.7,250.1,-48
21,MADHUBANI,181.9,180.9,1
22,MONGHYR,98,225.9,-57
23,MUZAFFARPUR,92.8,216.7,-57
24,NALANDA,103.5,191.6,-46
25,NAWADA,109.6,178.4,-39
26,PATNA,167.2,203.3,-18
27,PURNEA,128.7,308.9,-58
28,ROHTAS,103.5,190.1,-46
29,SAHARSA,134.6,236.4,-43
30,SAMASTIPUR,148.8,223,-33
31,SARAN,96.6,195.8,-51
32,SHEIKHPURA,90.5,181.7,-50
33,SHEOHAR,108.8,206,-47
34,SITAMARHI,139.2,188.6,-26
35,SIWAN,162.6,212.9,-24
36,SUPAUL,157.1,228.5,-31
37,VAISHALI,174.2,199.4,-13
38,WEST CHAMPARAN,221.2,237.1,-7
